year,countryCode,country,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,Qscore,total,GDP,population
2016,3,Albania,EFImportsPerCap,0.233114246,0.015431802,0.110288473,0.041521388,0,0.450224401,3A,0.850580308,4681.82666,2886440
2016,3,Albania,EFImportsTotGHA,672870.2694,44542.96873,318341.0532,119848.9914,0,1299545.693,3A,2455148.975,4681.82666,2886440
2016,3,Albania,EFProdPerCap,0.369862582,0.194924884,0.163638692,0.017335679,0.043074855,0.533547962,3A,1.322384654,4681.82666,2886440
2016,3,Albania,EFProdTotGHA,1067586.13,562638.9702,472333.2577,50038.39596,124332.9813,1540054.148,3A,3816983.884,4681.82666,2886440
2016,3,Albania,GDP,,,,,,,,4681.82666,4681.82666,2886440
2016,3,Albania,HDI,,,,,,,,0.787999988,4830.197266,2886440
2016,3,Albania,Population,,,,,,,,2886440,4830.197266,2886440
2016,4,Algeria,AreaPerCap,0.207578538,0.812366559,0.048235081,0.022615743,0.030120294,0,3A,1.120916215,4830.197266,40551400
2016,4,Algeria,AreaTotHA,8417600,32942600,1956000,917100,1221420.044,0,3A,45454720.04,4830.197266,40551400
2016,4,Algeria,BiocapPerCap,0.187551226,0.259553563,0.02684598,0.007825755,0.027214269,0,3A,0.508990793,4830.197266,40551400
2016,4,Algeria,BiocapTotGHA,7605464.506,10525259.95,1088642.038,317345.3079,1103576.648,0,3A,20640288.45,4830.197266,40551400
2016,4,Algeria,Earths,0.369065676,0.110022242,0.107297483,0.009304366,0.016931219,0.840803364,3A,1.45342435,4830.197266,40551400
2016,4,Algeria,EFConsPerCap,0.593214957,0.176843429,0.172463807,0.014955303,0.027214269,1.351459006,3A,2.336150771,4830.197266,40551400
2016,4,Algeria,EFConsTotGHA,24055696.09,7171248.366,6993648.566,606458.4326,1103576.648,54803552.61,3A,94734180.71,4830.197266,40551400
2016,4,Algeria,EFExportsPerCap,0.007335679,0.001281763,0.000172602,0.000218263,0,0.198728,3A,0.207736308,4830.197266,40551400
2016,4,Algeria,EFExportsTotGHA,297472.0437,51977.30129,6999.260309,8850.882038,0,8058698.328,3A,8423997.815,4830.197266,40551400
2016,4,Algeria,EFImportsPerCap,0.41299941,0.056762965,0.090090949,0.007296524,0,0.419339796,3A,0.986489645,4830.197266,40551400
2016,4,Algeria,EFImportsTotGHA,16747703.63,2301817.608,3653313.981,295884.268,0,17004815.16,3A,40003534.65,4830.197266,40551400
2016,4,Algeria,EFProdPerCap,0.187551226,0.121362228,0.08254546,0.007877041,0.027214269,1.13084721,3A,1.557397434,4830.197266,40551400
2016,4,Algeria,EFProdTotGHA,7605464.506,4921408.059,3347333.846,319425.0466,1103576.648,45857435.78,3A,63154643.88,4830.197266,40551400
2016,4,Algeria,GDP,,,,,,,,4830.197266,4830.197266,40551400
2016,4,Algeria,HDI,,,,,,,,0.742999971,3530.309326,40551400
2016,4,Algeria,Population,,,,,,,,40551400,3530.309326,40551400
2016,7,Angola,AreaPerCap,0.180116148,1.755998266,2.386326428,0.183302418,0.037266533,0,3A,4.543009794,3530.309326,28842500
2016,7,Angola,AreaTotHA,5195000,50647380,68827620,5286900,1074859.985,0,3A,131031760,3530.309326,28842500
2016,7,Angola,BiocapPerCap,0.213391469,0.956853681,0.529839802,0.186452993,0.04415129,0,3A,1.930689235,3530.309326,28842500
2016,7,Angola,BiocapTotGHA,6154743.435,27598052.31,15281904.48,5377770.449,1273433.578,0,3A,55685904.25,3530.309326,28842500
2016,7,Angola,Earths,0.199081858,0.053226326,0.056278415,0.058677059,0.027468501,0.165275094,3A,0.560007253,3530.309326,28842500
