year,countryCode,country,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,Qscore,total,GDP,population,
2015,3,Albania,EFImportsPerCap,0.229553421,0.017612034,0.110355995,0.038352321,0,0.539166488,3A,0.935040259,4524.373047,2890510,
2015,3,Albania,EFImportsTotGHA,663526.4619,50907.76022,318985.1083,110857.7691,0,1558466.13,3A,2702743.229,4524.373047,2890510,
2015,3,Albania,EFProdPerCap,0.363157891,0.194287212,0.163738877,0.016899578,0.042253428,0.562036325,3A,1.342373311,4524.373047,2890510,
2015,3,Albania,EFProdTotGHA,1049711.52,561589.1309,473288.8636,48848.40049,122133.9571,1624571.622,3A,3880143.494,4524.373047,2890510,
2015,3,Albania,GDP,,,,,,,,4524.373047,4524.373047,2890510,
2015,3,Albania,HDI,,,,,,,,0.787999988,4777.427246,2890510,
2015,3,Albania,Population,,,,,,,,2890510,4777.427246,2890510,
2015,4,Algeria,AreaPerCap,0.213008458,0.830497382,0.049234797,0.023084474,0.030120318,0,3A,1.145945429,4777.427246,39728000,
2015,4,Algeria,AreaTotHA,8462400,32994000,1956000,917100,1196619.995,0,3A,45526120,4777.427246,39728000,
2015,4,Algeria,BiocapPerCap,0.196122983,0.264754675,0.027457827,0.007970137,0.027732639,0,3A,0.524038261,4777.427246,39728000,
2015,4,Algeria,BiocapTotGHA,7791573.88,10518173.72,1090844.535,316637.6058,1101762.278,0,3A,20818992.02,4777.427246,39728000,
2015,4,Algeria,Earths,0.385260721,0.112272423,0.106790542,0.00972991,0.017124728,0.920839914,3A,1.552018239,4777.427246,39728000,
2015,4,Algeria,EFConsPerCap,0.623910424,0.181819561,0.17294193,0.015757101,0.027732639,1.49125408,3A,2.513415735,4777.427246,39728000,
2015,4,Algeria,EFConsTotGHA,24786713.33,7223327.53,6870636.994,625998.1233,1101762.278,59244542.08,3A,99852980.34,4777.427246,39728000,
2015,4,Algeria,EFExportsPerCap,0.006094981,0.000835185,0.000350375,0.000197177,0,0.182042047,3A,0.189519766,4777.427246,39728000,
2015,4,Algeria,EFExportsTotGHA,242141.4126,33180.23373,13919.68886,7833.44817,0,7232166.461,3A,7529241.245,4777.427246,39728000,
2015,4,Algeria,EFImportsPerCap,0.433882422,0.058986321,0.089348302,0.007901252,0,0.479153992,3A,1.069272289,4777.427246,39728000,
2015,4,Algeria,EFImportsTotGHA,17237280.86,2343408.541,3549629.337,313900.9542,0,19035829.81,3A,42480049.51,4777.427246,39728000,
2015,4,Algeria,EFProdPerCap,0.196122983,0.123668426,0.083944003,0.008053026,0.027732639,1.194142135,3A,1.633663212,4777.427246,39728000,
2015,4,Algeria,EFProdTotGHA,7791573.88,4913099.222,3334927.346,319930.6173,1101762.278,47440878.73,3A,64902172.08,4777.427246,39728000,
2015,4,Algeria,GDP,,,,,,,,4777.427246,4777.427246,39728000,
2015,4,Algeria,HDI,,,,,,,,0.74000001,3748.320557,39728000,
2015,4,Algeria,Population,,,,,,,,39728000,3748.320557,39728000,
2015,7,Angola,AreaPerCap,0.186125573,1.796607038,2.488225998,0.189600634,0.037266357,0,3A,4.697825601,3748.320557,27884400,
2015,7,Angola,AreaTotHA,5190000,50097310,69382690,5286900,1039150.024,0,3A,130996050,3748.320557,27884400,
2015,7,Angola,BiocapPerCap,0.216991146,0.976798441,0.553582448,0.192429372,0.043446311,0,3A,1.983247718,3748.320557,27884400,
2015,7,Angola,BiocapTotGHA,6050668.009,27237438.82,15436314.63,5365777.647,1211474.337,0,3A,55301673.44,3748.320557,27884400,
2015,7,Angola,Earths,0.207287151,0.059906655,0.058242354,0.06980997,0.026827821,0.245910949,3A,0.6679849,3748.320557,27884400,
2015,7,Angola,EFConsPerCap,0.335691149,0.097015825,0.094320572,0.113053747,0.043446311,0.398240455,3A,1.08176806,3748.320557,27884400,
2015,7,Angola,EFConsTotGHA,9360546.415,2705228.106,2630072.607,3152435.947,1211474.337,11104696.3,3A,30164453.71,3748.320557,27884400,
2015,7,Angola,EFExportsPerCap,0.001708588,5.22E-05,0.001423636,0.004786448,0,0.190328393,3A,0.198299269,3748.320557,27884400,
2015,7,Angola,EFExportsTotGHA,47642.95458,1455.680462,39697.23674,133467.2357,0,5307193.108,3A,5529456.216,3748.320557,27884400,
