year,countryCode,country,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,Qscore,total,GDP,population
2018,1,Armenia,AreaPerCap,0.170983315,0.397255865,0.111422038,0.043025324,0.029319827,0,3A,0.752006369,4406.706543,2951750
2018,1,Armenia,AreaTotHA,504700,1172600,328890,127000,86544.7998,0,3A,2219734.8,4406.706543,2951750
2018,1,Armenia,BiocapPerCap,0.208557325,0.263464504,0.092649369,0.015682325,0.035762932,0,3A,0.616116456,4406.706543,2951750
2018,1,Armenia,BiocapTotGHA,615609.0846,777681.3509,273477.7747,46290.30358,105563.2356,0,3A,1818621.749,4406.706543,2951750
2018,1,Armenia,Earths,0.305087375,0.12723493,0.16883104,0.000477814,0.022597242,0.576557385,3A,1.200785786,4406.706543,2951750
2018,1,Armenia,EFConsPerCap,0.482838528,0.201365023,0.267196015,0.0007562,0.035762932,0.912473417,3A,1.900392117,4406.706543,2951750
2018,1,Armenia,EFConsTotGHA,1425218.626,594379.2069,788695.8373,2232.11466,105563.2356,2693393.41,3A,5609482.43,4406.706543,2951750
2018,1,Armenia,EFExportsPerCap,0.024394968,0.011380004,0.000606393,0.009727859,0,0.171452196,3A,0.217561421,4406.706543,2951750
2018,1,Armenia,EFExportsTotGHA,72007.84819,33590.92771,1789.920224,28714.20889,0,506084.0187,3A,642186.9237,4406.706543,2951750
2018,1,Armenia,EFImportsPerCap,0.298676172,0.05619334,0.069749694,0.010439924,0,0.431601192,3A,0.866660321,4406.706543,2951750
2018,1,Armenia,EFImportsTotGHA,881617.3896,165868.6899,205883.6594,30816.04636,0,1273978.818,3A,2558164.603,4406.706543,2951750
2018,1,Armenia,EFProdPerCap,0.208557325,0.156551688,0.198052714,4.41E-05,0.035762932,0.652324421,3A,1.251293216,4406.706543,2951750
2018,1,Armenia,EFProdTotGHA,615609.0846,462101.4447,584602.0981,130.2771947,105563.2356,1925498.61,3A,3693504.751,4406.706543,2951750
2018,1,Armenia,GDP,,,,,,,,4406.706543,4406.706543,2951750
2018,1,Armenia,HDI,,,,,,,,0.771000028,568.3428955,2951750
2018,1,Armenia,Population,,,,,,,,2951750,568.3428955,2951750
2018,2,Afghanistan,AreaPerCap,0.213037276,0.807061282,0.032509505,0,0.043455406,0,3A,1.096063469,568.3428955,37171896
2018,2,Afghanistan,AreaTotHA,7919000,30000000,1208440,0,1615319.946,0,3A,40742759.95,568.3428955,37171896
2018,2,Afghanistan,BiocapPerCap,0.139392867,0.157739831,0.014376868,0,0.028433398,0,3A,0.339942964,568.3428955,37171896
2018,2,Afghanistan,BiocapTotGHA,5181497.501,5863488.978,534415.4712,0,1056923.382,0,3A,12636325.33,568.3428955,37171896
2018,2,Afghanistan,Earths,0.170468698,0.104317366,0.039730625,0.000669499,0.017965987,0.097939135,3A,0.431091311,568.3428955,37171896
2018,2,Afghanistan,EFConsPerCap,0.269787812,0.165095142,0.062878631,0.001059565,0.028433398,0.155000803,3A,0.682255352,568.3428955,37171896
2018,2,Afghanistan,EFConsTotGHA,10028525.17,6136899.84,2337318.102,39386.04318,1056923.382,5761674.101,3A,25360726.63,568.3428955,37171896
2018,2,Afghanistan,EFExportsPerCap,0.017631468,0.002149777,0.000176296,0,0,0.003040064,3A,0.022997606,568.3428955,37171896
2018,2,Afghanistan,EFExportsTotGHA,655395.1548,79911.29096,6553.271816,0,0,113004.9627,3A,854864.6803,568.3428955,37171896
2018,2,Afghanistan,EFImportsPerCap,0.148026414,0.009505088,0.011021,0.000975593,0,0.06773772,3A,0.237265815,568.3428955,37171896
2018,2,Afghanistan,EFImportsTotGHA,5502422.819,353322.1528,409671.5106,36264.64393,0,2517939.661,3A,8819620.787,568.3428955,37171896
2018,2,Afghanistan,EFProdPerCap,0.139392867,0.157739831,0.052033927,8.40E-05,0.028433398,0.090303147,3A,0.467987142,568.3428955,37171896
2018,2,Afghanistan,EFProdTotGHA,5181497.501,5863488.978,1934199.864,3121.399248,1056923.382,3356739.403,3A,17395970.53,568.3428955,37171896
2018,2,Afghanistan,GDP,,,,,,,,568.3428955,568.3428955,37171896
2018,2,Afghanistan,HDI,,,,,,,,0.509000003,5074.857422,37171896
2018,2,Afghanistan,Population,,,,,,,,37171896,5074.857422,37171896
2018,3,Albania,AreaPerCap,0.250317407,0.237447707,0.385640052,0.223884222,0.029208323,0,3A,1.126497711,5074.857422,2882740
2018,3,Albania,AreaTotHA,721600,684500,1111700,645400,84200,0,3A,3247400,5074.857422,2882740
2018,3,Albania,BiocapPerCap,0.362065115,0.195717639,0.310590492,0.082072359,0.04224762,0,3A,0.992693225,5074.857422,2882740
2018,3,Albania,BiocapTotGHA,1043739.585,564203.0636,895351.6331,236593.2728,121788.9039,0,3A,2861676.458,5074.857422,2882740
2018,3,Albania,Earths,0.345918175,0.123748887,0.131150137,0.025650425,0.026694671,0.538819066,3A,1.19198136,5074.857422,2882740
2018,3,Albania,EFConsPerCap,0.547458324,0.195847929,0.207561323,0.040594971,0.04224762,0.852747856,3A,1.886458023,5074.857422,2882740
